INVOICE_ID,EVENT,EVENT_ATTRIBUTE,Event Attribute Value,Supplier Name,Supplier Site Name,INVOICE_CURRENCY_CODE,PAYMENT_CURRENCY_CODE,INVOICE_AMOUNT,Invoice Amount Paid,DISCOUNT_AMOUNT_TAKEN,INVOICE_OUTSTANDING,INVOICE_DATE,Payment Term,Invoice Term Date,Invoice Creation Date,PO_HEADER_ID,GOODS_RECEIVED_DATE,INVOICE_RECEIVED_DATE,ORG_ID,Invoice Type,Invoice Description,CANCELLED_DATE,APPROVAL_STATUS,WFAPPROVAL_STATUS,INVOICE_LINE_NUMBER,INVOICE_LINE_AMOUNT,INVOICED_QTY,UOM,UNIT_PRICE,HOLD_LOOKUP_CODE,HELD_BY,INVOICE_HOLD_DATE,INVOICE_HOLD_REASON,RELEASE_LOOKUP_CODE,INVOICE_RELEASE_DATE,INVOICE_RELEASE_REASON,INVOICE_HOLD_DETAILS,STATUS_FLAG,HOLD_TYPE,HOLD_INACTIVE_DATE,DAYS_TO_WAIT_FOR_REMINDER_NTF,NUMBER_OF_APPROVAL_ITERATION,AMOUNT_APPROVED,INVOICE_APPROVAL_CREATION_DATE,PAYMENT_NUM,PAYMENT_AMOUNT_REMAINING,PAYMENT_DUE_DATE,FIRST_DISCOUNT_AVAILABLE_DATE,SECOND_DISCOUNT_AVAILABLE_DATE,THIRD_DISCOUNT_AVAILABLE_DATE,FIRST_DISCOUNT_AVAILABLE_AMT,SECOND_DISCOUNT_AVAILABLE_AMT,THIRD_DISCOUNT_AVAILABLE_AMT,PAYMENT_STATUS_FLAG,DUE_DATE_PASSED,0-30 days,31-60 days,61-90 days,Over 91 days,INVOICE_PAYMENT_ID,PAYMENT_CREATION_DATE,CHECK_ID,PAYMENT_NUMBER,PAYMENT_STATUS,PAYEE,PAYMENT_CLEARED_DATE,CHECK_AMOUNT,PAYMENT_DATE,PAYMENT_TYPE_FLAG,CHECK_VOID_DATE,FUTURE_PAY_DUE_DATE,CHECK_CLEARED_BASE_AMOUNT,CHECK_BASE_AMOUNT,CHECK_STOP_DATE
205403,First Discount Available Date,,08-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,08-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
205403,Payment Date,,14-05-2008 02:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,154879,,75900,8841,RECONCILED,Advanced Network Devices,14-05-2008 00:00,109009.22,14-05-2008 02:57,A,,,109009.22,,
205403,Second Discount Available Date,,18-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,18-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
205403,Third Discount Available Date,,28-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,28-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,
205403,Payment Due Date,,27-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,27-06-2008 00:00,08-05-2008 00:00,18-05-2008 00:00,28-05-2008 00:00,305,228.75,152.5,Fully Paid,N,N,N,N,N,,,,,,,,,,,,,,,
205404,Invoice Date,,26-04-2008 00:00,United Parcel Service,BRISTOL,GBP,GBP,1146.81,0,0,1146.81,26-04-2008 00:00,2/10 Net 45,26-04-2008 00:00,28-04-2008 07:27,,26-04-2008 00:00,,626,STANDARD,,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205404,Invoice Creation Date,,28-04-2008 07:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205404,First Discount Available Date,,06-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,06-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
205404,Payment Due Date,,10-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1146.81,10-06-2008 00:00,06-05-2008 00:00,,,22.94,,,Unpaid,Y,N,N,N,Y,,,,,,,,,,,,,,,
205405,Invoice Date,,27-04-2008 00:00,Advantage Corp,LONDON,EUR,EUR,4080.79,0,0,4080.79,27-04-2008 00:00,2/10 Net 45,27-04-2008 00:00,28-04-2008 07:27,,27-04-2008 00:00,,626,STANDARD,,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205405,Invoice Creation Date,,28-04-2008 07:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205405,First Discount Available Date,,07-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,07-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
205405,Payment Due Date,,11-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4080.79,11-06-2008 00:00,07-05-2008 00:00,,,81.62,,,Unpaid,Y,N,N,N,Y,,,,,,,,,,,,,,,
205417,Invoice Date,,23-04-2008 00:00,Consolidated Supplies,BERLARE ERS,EUR,EUR,5986.31,5986.31,0,0,23-04-2008 00:00,"4/10, 3/20, 2/30 Net  60",23-04-2008 00:00,28-04-2008 07:59,,23-04-2008 00:00,23-04-2008 00:00,1018,STANDARD,Receipt Invoice automatically created on 23-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205417,Invoice Creation Date,,28-04-2008 07:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205417,First Discount Available Date,,03-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,03-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
205417,Second Discount Available Date,,13-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,13-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
205417,Third Discount Available Date,,23-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,23-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,
205417,Payment Due Date,,22-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,22-06-2008 00:00,03-05-2008 00:00,13-05-2008 00:00,23-05-2008 00:00,197.89,148.42,98.95,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205417,Payment Date,,25-06-2008 02:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,156826,,77253,6143,RECONCILED,Consolidated Supplies,25-06-2008 00:00,11972.62,25-06-2008 02:02,A,,,11972.62,,
205418,Invoice Date,,25-04-2008 00:00,General Electric,GENT ERS,EUR,EUR,36114.87,36114.87,0,0,25-04-2008 00:00,45 Net (terms date + 45),25-04-2008 00:00,28-04-2008 07:59,,25-04-2008 00:00,25-04-2008 00:00,1018,STANDARD,Receipt Invoice automatically created on 25-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205418,Invoice Creation Date,,28-04-2008 07:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205418,Payment Due Date,,09-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,09-06-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205418,Payment Date,,11-06-2008 09:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,156152,,76747,6121,RECONCILED,General Electric,11-06-2008 00:00,72229.74,11-06-2008 09:05,A,,,72229.74,,
205419,Invoice Date,,28-04-2008 00:00,General Electric,GENT ERS,EUR,EUR,39124.44,39124.44,0,0,28-04-2008 00:00,45 Net (terms date + 45),28-04-2008 00:00,28-04-2008 07:59,,28-04-2008 00:00,28-04-2008 00:00,1018,STANDARD,Receipt Invoice automatically created on 28-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205419,Invoice Creation Date,,28-04-2008 07:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205419,Payment Due Date,,12-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12-06-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205419,Payment Date,,18-06-2008 03:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,156425,,76962,6127,RECONCILED,General Electric,18-06-2008 00:00,39124.44,18-06-2008 03:01,A,,,39124.44,,
205420,Invoice Date,,28-04-2008 00:00,Consolidated Supplies,STRASBOURG,EUR,EUR,2041.86,2041.86,0,0,28-04-2008 00:00,45 Net (terms date + 45),28-04-2008 00:00,28-04-2008 08:00,,28-04-2008 00:00,28-04-2008 00:00,888,STANDARD,Receipt Invoice automatically created on 28-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205420,Invoice Creation Date,,28-04-2008 08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205420,Payment Due Date,,12-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12-06-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205420,Payment Date,,18-06-2008 03:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,156476,,76979,1014,RECONCILED UNACCOUNTED,Consolidated Supplies,18-06-2008 00:00,120743.28,18-06-2008 03:05,A,,,120743.28,,
205421,Invoice Date,,28-04-2008 00:00,General Electric,PARIS,EUR,EUR,32722.26,32722.26,0,0,28-04-2008 00:00,45 Net (terms date + 45),28-04-2008 00:00,28-04-2008 08:05,,28-04-2008 00:00,28-04-2008 00:00,888,STANDARD,Receipt Invoice automatically created on 28-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205421,Invoice Creation Date,,28-04-2008 08:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205421,Payment Due Date,,12-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12-06-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205421,Payment Date,,18-06-2008 03:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,156472,,76977,1012,RECONCILED UNACCOUNTED,General Electric,18-06-2008 00:00,94150.61,18-06-2008 03:05,A,,,94150.61,,
205422,Invoice Date,,28-04-2008 00:00,Consolidated Supplies,STRASBOURG,EUR,EUR,2041.86,2041.86,0,0,28-04-2008 00:00,45 Net (terms date + 45),28-04-2008 00:00,28-04-2008 08:05,,28-04-2008 00:00,28-04-2008 00:00,888,STANDARD,Receipt Invoice automatically created on 28-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205422,Invoice Creation Date,,28-04-2008 08:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205422,Payment Due Date,,12-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12-06-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205422,Payment Date,,18-06-2008 03:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,156477,,76979,1014,RECONCILED UNACCOUNTED,Consolidated Supplies,18-06-2008 00:00,120743.28,18-06-2008 03:05,A,,,120743.28,,
205423,Invoice Date,,25-04-2008 00:00,General Electric,PARIS,EUR,EUR,6544.45,6544.45,0,0,25-04-2008 00:00,45 Net (terms date + 45),25-04-2008 00:00,28-04-2008 08:06,,25-04-2008 00:00,25-04-2008 00:00,888,STANDARD,Receipt Invoice automatically created on 25-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205423,Invoice Creation Date,,28-04-2008 08:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205423,Payment Due Date,,09-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,09-06-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205423,Payment Date,,11-06-2008 10:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,156165,,76762,1004,RECONCILED UNACCOUNTED,General Electric,11-06-2008 00:00,41646.51,11-06-2008 10:25,A,,,41646.51,,
205424,Invoice Date,,26-04-2008 00:00,General Electric,PARIS,EUR,EUR,13088.9,13088.9,0,0,26-04-2008 00:00,45 Net (terms date + 45),26-04-2008 00:00,28-04-2008 08:06,,26-04-2008 00:00,26-04-2008 00:00,888,STANDARD,Receipt Invoice automatically created on 26-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205424,Invoice Creation Date,,28-04-2008 08:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205424,Payment Due Date,,10-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10-06-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205424,Payment Date,,11-06-2008 10:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,156166,,76762,1004,RECONCILED UNACCOUNTED,General Electric,11-06-2008 00:00,41646.51,11-06-2008 10:25,A,,,41646.51,,
205425,Invoice Date,,28-04-2008 00:00,General Electric,PARIS,EUR,EUR,60684.92,60684.92,0,0,28-04-2008 00:00,45 Net (terms date + 45),28-04-2008 00:00,28-04-2008 08:06,,28-04-2008 00:00,28-04-2008 00:00,888,STANDARD,Receipt Invoice automatically created on 28-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205425,Invoice Creation Date,,28-04-2008 08:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205425,Payment Due Date,,12-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12-06-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205425,Payment Date,,18-06-2008 03:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,156473,,76977,1012,RECONCILED UNACCOUNTED,General Electric,18-06-2008 00:00,94150.61,18-06-2008 03:05,A,,,94150.61,,
205426,Invoice Date,,23-04-2008 00:00,Advanced Network Devices,ANTWERPEN ERS,EUR,EUR,66429.87,66429.87,0,0,23-04-2008 00:00,Immediate,23-04-2008 00:00,28-04-2008 08:20,,23-04-2008 00:00,23-04-2008 00:00,1018,STANDARD,Receipt Invoice automatically created on 23-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205426,Payment Due Date,,23-04-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,23-04-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205426,Invoice Creation Date,,28-04-2008 08:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205426,Payment Date,,02-05-2008 04:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,154336,,75491,7493,RECONCILED,Advanced Network Devices,02-05-2008 00:00,66429.87,02-05-2008 04:12,A,,,66429.87,,
205427,Invoice Date,,24-04-2008 00:00,Consolidated Supplies,BERLARE ERS,EUR,EUR,5986.31,5837.89,148.42,0,24-04-2008 00:00,"4/10, 3/20, 2/30 Net  60",24-04-2008 00:00,28-04-2008 08:20,,24-04-2008 00:00,24-04-2008 00:00,1018,STANDARD,Receipt Invoice automatically created on 24-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205427,Invoice Creation Date,,28-04-2008 08:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205427,First Discount Available Date,,04-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,04-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
205427,Second Discount Available Date,,14-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,14-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
205427,Payment Date,,14-05-2008 02:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,154838,,75863,6059,RECONCILED,Consolidated Supplies,14-05-2008 00:00,5837.89,14-05-2008 02:05,A,,,5837.89,,
205427,Third Discount Available Date,,24-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,24-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,
205427,Payment Due Date,,23-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,23-06-2008 00:00,04-05-2008 00:00,14-05-2008 00:00,24-05-2008 00:00,197.89,148.42,98.95,Fully Paid,N,N,N,N,N,,,,,,,,,,,,,,,
205428,Invoice Date,,28-04-2008 00:00,Corporate Express Office Supply,ANDERLECHT,EUR,EUR,688.49,688.49,0,0,28-04-2008 00:00,30 Net (terms date + 30),28-04-2008 00:00,28-04-2008 08:21,,28-04-2008 00:00,28-04-2008 00:00,1018,STANDARD,Receipt Invoice automatically created on 28-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205428,Invoice Creation Date,,28-04-2008 08:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205428,Payment Due Date,,28-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28-05-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205428,Payment Date,,04-06-2008 03:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,155705,,76457,6091,RECONCILED,Corporate Express Office Supply,04-06-2008 00:00,688.49,04-06-2008 03:09,A,,,688.49,,
205429,Invoice Date,,28-04-2008 00:00,Corporate Express Office Supply,ZOLA,EUR,EUR,1078.79,1078.79,0,0,28-04-2008 00:00,30 Net (terms date + 30),28-04-2008 00:00,28-04-2008 08:22,,28-04-2008 00:00,28-04-2008 00:00,888,STANDARD,Receipt Invoice automatically created on 28-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205429,Invoice Creation Date,,28-04-2008 08:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205429,Payment Due Date,,28-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28-05-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205429,Payment Date,,04-06-2008 06:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,155806,,76509,999,RECONCILED UNACCOUNTED,Corporate Express Office Supply,04-06-2008 00:00,41954.48,04-06-2008 06:15,A,,,41954.48,,
205430,Invoice Date,,26-04-2008 00:00,United Parcel Service,GENT,EUR,EUR,14321.56,0,0,14321.56,26-04-2008 00:00,2/10 Net 45,26-04-2008 00:00,28-04-2008 08:22,,26-04-2008 00:00,,1018,STANDARD,,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205430,Invoice Creation Date,,28-04-2008 08:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205430,First Discount Available Date,,06-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,06-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
205430,Payment Due Date,,10-06-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14321.56,10-06-2008 00:00,06-05-2008 00:00,,,236.72,,,Unpaid,Y,N,N,N,Y,,,,,,,,,,,,,,,
